83,RightArrow,[0.00064307 0.42616627 0.14555386 0.5140491 ]
83,BlueAvatar,[0.18642299 0.00350351 0.3097426  0.09244902]
84,RightArrow,[0.01064729 0.42540205 0.15358683 0.5127969 ]
84,BlueAvatar,[0.18937197 0.00146493 0.3103777  0.09092733]
85,RightArrow,[0.0122152  0.42412183 0.15343547 0.511567  ]
85,BlueAvatar,[1.8482453e-01 2.7436391e-04 3.0754504e-01 8.6444721e-02]
86,RightArrow,[0.01076199 0.42505765 0.14845102 0.504856  ]
87,RightArrow,[0.00446142 0.4231997  0.13836734 0.49739128]
87,LeftArrow,[0.00446142 0.4231997  0.13836734 0.49739128]
88,RightArrow,[0.00851176 0.41913462 0.14525661 0.4902959 ]
92,RightArrow,[0.01645482 0.41602394 0.14655605 0.4870914 ]
94,LeftArrow,[0.02071869 0.40915483 0.15191579 0.48191983]
95,RightArrow,[0.02247724 0.40905812 0.15385233 0.48180076]
96,LeftArrow,[0.02883711 0.4105779  0.15874839 0.48405802]
97,LeftArrow,[0.03136278 0.41043803 0.16192186 0.48390606]
98,LeftArrow,[0.03200644 0.41150475 0.16217373 0.48461854]
99,LeftArrow,[0.03977858 0.41833267 0.17121935 0.48847315]
100,LeftArrow,[0.05251058 0.42201236 0.1833039  0.49472097]
101,RightArrow,[0.0555032  0.42207557 0.18300599 0.49328846]
101,LeftArrow,[0.0555032  0.42207557 0.18300599 0.49328846]
102,LeftArrow,[0.05428153 0.42341292 0.18308654 0.496422  ]
103,LeftArrow,[0.05348872 0.42650762 0.18279232 0.5013883 ]
104,LeftArrow,[0.05904173 0.4293364  0.19540575 0.50436455]
105,LeftArrow,[0.06322201 0.43120074 0.20026623 0.5060607 ]
106,LeftArrow,[0.06873196 0.4321642  0.20188981 0.5065496 ]
107,LeftArrow,[0.0717524  0.43198097 0.2039423  0.5058769 ]
108,LeftArrow,[0.07131345 0.43202907 0.20062622 0.5048243 ]
108,RightArrow,[0.07131345 0.43202907 0.20062622 0.5048243 ]
109,RightArrow,[0.06694825 0.4312847  0.19676428 0.5043271 ]
109,LeftArrow,[0.06694825 0.4312847  0.19676428 0.5043271 ]
110,RightArrow,[0.05833294 0.4309122  0.18748233 0.5043591 ]
110,LeftArrow,[0.060658   0.43049723 0.19236144 0.50419825]
111,RightArrow,[0.05806784 0.42987567 0.18832588 0.5040709 ]
111,LeftArrow,[0.06016403 0.4295723  0.19293338 0.5039117 ]
112,RightArrow,[0.06096935 0.4292813  0.1938447  0.503646  ]
112,LeftArrow,[0.06096935 0.4292813  0.1938447  0.503646  ]
113,LeftArrow,[0.05462726 0.4303978  0.18503264 0.5045515 ]
113,RightArrow,[0.05462726 0.4303978  0.18503264 0.5045515 ]
114,LeftArrow,[0.05258147 0.42079693 0.1846076  0.5081291 ]
115,LeftArrow,[0.0529455  0.42111298 0.18792766 0.50870806]
116,LeftArrow,[0.05869512 0.42219934 0.19564444 0.50928146]
117,LeftArrow,[0.06546332 0.42110768 0.2039998  0.50778824]
118,LeftArrow,[0.06696552 0.41861957 0.20259538 0.5047834 ]
119,LeftArrow,[0.05980141 0.41524348 0.1964468  0.50315475]
120,LeftArrow,[0.05756631 0.41164595 0.19234233 0.5002904 ]
121,BlueAvatar,[0.07318242 0.8206067  0.18977739 0.8992876 ]
121,LeftArrow,[0.05743501 0.4094553  0.1943892  0.4978692 ]
122,LeftArrow,[0.05970161 0.4078731  0.19504055 0.4971795 ]
122,BlueAvatar,[0.07442838 0.8198211  0.19201446 0.8974848 ]
123,BlueAvatar,[0.07698862 0.82006586 0.19284005 0.8975117 ]
123,LeftArrow,[0.0587521  0.40816295 0.19361888 0.4971748 ]
124,LeftArrow,[0.05581273 0.4075672  0.1883144  0.49552417]
124,BlueAvatar,[0.07516254 0.81812805 0.19225696 0.8961825 ]
125,LeftArrow,[0.05080987 0.40276232 0.1831618  0.49123493]
125,BlueAvatar,[0.07248136 0.8136202  0.18745777 0.89186454]
126,LeftArrow,[0.04752056 0.39696634 0.18014076 0.48516113]
126,BlueAvatar,[0.07165651 0.80766565 0.18702318 0.8844201 ]
127,LeftArrow,[0.04925385 0.39023378 0.18055974 0.4795542 ]
127,BlueAvatar,[0.07195152 0.8005742  0.18819071 0.87629354]
